"","Name","Location","Year","Kilometers_Driven","Owner_Type","Mileage","Engine","Power","Seats","Price","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","TransmissionManual","Age"
"20","Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Second",2365,1248,885,5,8.25,1,0,0,1,9
"21","Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"First",1353,1984,17701,5,23.5,0,0,1,0,9
"22","Hyundai i20 1.2 Magna","Kolkata",2010,45807,"First",185,1197,80,5,1.87,0,0,1,1,14
"23","Volkswagen Vento Petrol Highline AT","Kolkata",2010,33000,"First",144,1598,1036,5,2.85,0,0,1,0,14
"24","Honda City Corporate Edition","Mumbai",2012,51920,"First",168,1497,1163,5,4.25,0,0,1,1,12
"25","Nissan Micra Diesel XV","Hyderabad",2012,54000,"First",1648,1461,631,5,4.25,1,0,0,1,12
"26","Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Second",2092,998,671,5,2.75,0,0,1,1,11
"27","Honda WRV i-VTEC VX","Kochi",2018,37430,"First",175,1199,887,5,9.9,0,0,1,1,6
"28","Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2007,262000,"Fourth & Above",128,2494,102,7,4,1,0,0,1,17
"29","Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"First",1901,1461,10845,5,7.75,1,0,0,1,11
"30","Toyota Corolla Altis G","Delhi",2012,87615,"First",1453,1798,1381,5,6.75,0,0,1,1,12
"31","Mahindra Ssangyong Rexton RX7","Bangalore",2013,72000,"Second",1118,2696,184,7,12.5,1,0,0,0,11
"32","Audi A6 2.7 TDI","Kolkata",2010,35000,"First",124,2698,1795,5,11.5,1,0,0,0,14
"33","Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Second",1609,1598,1035,5,6.98,0,0,1,1,10
"34","Maruti Wagon R LXI BSIII","Jaipur",2009,83816,"Second",140,1061,64,5,1.85,0,0,1,1,15
"35","Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"First",243,1248,885,5,8.63,1,0,0,1,6
"36","Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"First",1815,1198,82,5,4.85,0,0,1,1,7
"37","Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"First",1174,2987,2548,5,28,1,0,0,0,11
"38","Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"First",2207,1199,739,5,5,1,0,0,1,11
"39","Maruti Alto LXi","Delhi",2008,90000,"Second",197,796,463,5,1.25,0,0,1,1,16
"40","Tata Nano LX SE","Kochi",2014,19698,"First",254,624,375,4,1.53,0,0,1,1,10
"41","Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"First",2532,1198,77,6,5.58,1,0,0,1,7
"42","Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"First",185,1197,829,5,4.74,0,0,1,1,10
"43","Hyundai Elantra 2.0 SX Option AT","Bangalore",2014,46374,"First",1462,1999,14992,5,8.85,0,0,1,0,10
"44","Toyota Corolla Altis G AT","Mumbai",2016,52001,"First",1428,1798,13803,5,10.11,0,0,1,0,8
"45","Hyundai Elantra CRDi","Ahmedabad",2008,58005,"Second",149,1991,1122,5,4.25,1,0,0,1,16
"46","Toyota Innova Crysta 2.7 GX MT","Bangalore",2012,70704,"First",1125,2694,1637,7,10.95,0,0,1,1,12
"47","Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"First",244,1120,71,5,3.85,1,0,0,1,10
"48","Mahindra Thar CRDe AC","Jaipur",2012,75800,"Second",1655,2498,105,6,5.5,1,0,0,1,12
"49","Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"First",1711,1968,17433,5,21.43,1,0,0,0,9
"50","Maruti Swift LDI","Delhi",2014,52000,"First",229,1248,74,5,4.25,1,0,0,1,10
"51","Maruti Swift Ldi BSIV","Kolkata",2014,53000,"First",178,1248,75,5,3.3,1,0,0,1,10
"52","Maruti Swift VDI","Delhi",2013,65650,"First",284,1248,74,5,3.85,1,0,0,1,11
"53","Hyundai Grand i10 Sportz","Chennai",2015,54000,"Third",189,1197,82,5,3.6,0,0,1,1,9
"54","Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"First",1504,1598,1032,5,3.99,0,0,1,1,9
"55","Renault KWID RXT","Kochi",2017,16542,"First",2517,799,533,5,3.3,0,0,1,1,7
"56","Hyundai i10 Asta","Kolkata",2010,32000,"First",2036,1197,789,5,2.07,0,0,1,1,14
"57","Nissan X-Trail SLX AT","Hyderabad",2010,121812,"First",949,1995,1476,5,7.75,1,0,0,0,14
"58","Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"First",182,998,671,5,2.25,0,0,1,1,14
"59","Toyota Innova Crysta 2.4 GX MT 8S","Mumbai",2017,22000,"First",1368,2393,1478,8,16.5,1,0,0,1,7
"60","Ford Figo Diesel Titanium","Bangalore",2010,72000,"First",200,1399,68,5,2.75,1,0,0,1,14
"61","Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"First",1174,1796,186,5,26.7,0,0,1,0,9
"62","Mercedes-Benz New C-Class 200 CDI Classic","Pune",2011,65000,"Second",158,2148,170,5,10,1,0,0,1,13
"63","Tata Indica V2 eLS","Chennai",2016,178000,"First",250,1396,69,5,2.5,1,0,0,1,8
"64","Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"First",1655,1968,140,5,13.5,1,0,0,0,12
"65","Honda City ZX CVT","Mumbai",2007,63000,"Second",164,1497,78,5,1.85,0,0,1,0,17
"66","Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"First",0,1950,194,5,35.67,1,0,0,0,5
"67","Maruti Ertiga SHVS VDI","Pune",2016,63000,"First",2452,1248,885,7,8.15,1,0,0,1,8
"68","Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"First",221,1396,887,5,10.5,1,0,0,1,6
"69","Porsche Cayenne 2009-2014 Turbo","Mumbai",2008,73000,"First",85,4806,500,5,14.5,0,0,1,0,16
"70","Mahindra XUV500 W8 4WD","Mumbai",2015,55729,"First",151,2179,140,7,9.65,1,0,0,1,9
"71","Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"First",1695,1197,789,5,3.48,0,0,1,0,12
"72","Nissan Terrano XV D Pre","Kochi",2015,56066,"First",1964,1461,1085,5,6.92,1,0,0,1,9
"73","Honda Brio VX AT","Coimbatore",2016,37300,"Second",165,1198,868,5,6.46,0,0,1,0,8
"74","Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Second",1853,1968,18774,5,29.5,1,0,0,0,10
"75","Toyota Innova 2.0 G1","Chennai",2006,230000,"Third",124,1998,132,8,4.5,0,0,1,1,18
"76","Toyota Innova 2.5 VX 7 STR BSIV","Hyderabad",2012,104000,"First",128,2494,102,7,11.75,1,0,0,1,12
"77","Maruti Swift VDI","Jaipur",2012,95100,"First",229,1248,74,5,3.75,1,0,0,1,12
"78","Tata Zest Revotron 1.2T XE","Pune",2017,70000,"First",1757,1193,887,5,4.5,0,0,1,1,7
"79","Honda Amaze SX i-VTEC","Kochi",2016,54944,"First",180,1198,867,5,4.82,0,0,1,1,8
"80","Ford Figo Diesel ZXI","Hyderabad",2012,70337,"First",200,1399,68,5,2.8,1,0,0,1,12
"81","Maruti Ritz VDi","Jaipur",2013,99638,"First",232,1248,7394,5,3.11,1,0,0,1,11
"82","Honda City i VTEC E","Delhi",2009,52000,"First",178,1497,1173,5,3.25,0,0,1,1,15
"83","BMW 5 Series 2003-2012 525d","Delhi",2011,75000,"Second",1673,1995,218,5,13.9,1,0,0,0,13
"84","Hyundai i10 Sportz 1.2","Pune",2009,95980,"First",2036,1197,789,5,2.25,0,0,1,1,15
"85","Hyundai Grand i10 Sportz","Bangalore",2016,16000,"First",189,1197,82,5,5.75,0,0,1,1,8
"86","Honda Amaze SX i-VTEC","Mumbai",2016,18949,"First",178,1198,867,5,5,0,0,1,1,8
"87","Toyota Fortuner 4x2 Manual","Delhi",2014,107000,"First",130,2982,1685,7,16.5,1,0,0,1,10
"88","Audi A6 2011-2015 35 TDI Premium","Coimbatore",2018,48367,"First",1768,1968,17433,5,39.58,1,0,0,0,6
"89","Ford Ecosport 1.5 DV5 MT Titanium Optional","Delhi",2013,57000,"First",227,1498,8984,5,5.5,1,0,0,1,11
"90","Mahindra XUV500 W8 2WD","Delhi",2014,58000,"First",151,2179,140,7,8.1,1,0,0,1,10
"91","Honda Amaze SX i-DTEC","Kolkata",2015,30000,"First",258,1498,986,5,3.5,1,0,0,1,9
"92","Volkswagen Polo Diesel Highline 1.2L","Kolkata",2013,34212,"First",2207,1199,739,5,2.79,1,0,0,1,11
"93","Hyundai Verna Transform SX VGT CRDi","Ahmedabad",2010,70002,"First",162,1493,110,5,3.45,1,0,0,1,14
"94","Maruti Wagon R VXI BS IV","Bangalore",2016,62000,"First",189,998,671,5,4.45,0,0,1,1,8
"95","Volkswagen Polo Petrol Highline 1.6L","Delhi",2010,62001,"First",1526,1598,1035,5,2.65,0,0,1,1,14
"96","Hyundai i20 1.4 CRDi Sportz","Pune",2011,78958,"Second",230,1396,90,5,3.8,1,0,0,1,13
"97","Hyundai i20 Asta 1.2","Mumbai",2014,30180,"First",185,1197,8285,5,4.65,0,0,1,1,10
"98","Datsun GO Plus T Petrol","Pune",2017,32851,"First",1983,1198,67,7,3.95,0,0,1,1,7
"99","Audi A4 3.0 TDI Quattro Premium","Kolkata",2010,30000,"First",1494,2967,2414,5,9.8,1,0,0,0,14
"100","Hyundai i20 2015-2017 Asta","Pune",2009,66000,"Second",170,1197,80,5,2.7,0,0,1,1,15
"101","Maruti Omni 5 Str STD","Coimbatore",2010,93850,"First",140,796,35,5,2.41,0,0,1,1,14
"102","Toyota Etios Liva 1.2 G","Ahmedabad",2014,53000,"First",1771,1197,789,5,3.9,0,0,1,1,10
"103","Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad",2011,78000,"Second",1474,2993,2709,5,24,1,0,0,0,13
"104","Mahindra XUV500 W8 2WD","Delhi",2012,65000,"Second",160,2179,140,7,5.75,1,0,0,1,12
"105","Hyundai Verna 1.6 SX CRDI (O) AT","Kolkata",2014,40000,"First",2232,1582,12632,5,5.25,1,0,0,0,10
"106","Toyota Innova Crysta 2.8 ZX AT","Mumbai",2017,30000,"First",1136,2755,1715,7,19.25,1,0,0,0,7
"107","Maruti Eeco 5 Seater AC","Coimbatore",2017,38053,"First",151,1196,73,5,3.91,0,0,1,1,7
"108","Tata Nano Twist XT","Bangalore",2014,25500,"First",254,624,375,4,2.15,0,0,1,1,10
"109","BMW 3 Series 320d Luxury Line","Mumbai",2015,56087,"First",2269,1995,190,5,20.75,1,0,0,0,9
"110","Honda Civic 2006-2010 1.8 V MT","Delhi",2010,71088,"First",135,1799,130,5,3.35,0,0,1,1,14
"111","Toyota Innova 2.5 VX (Diesel) 7 Seater","Ahmedabad",2014,55000,"First",1299,2494,1006,7,11.11,1,0,0,1,10
"112","Volvo V40 Cross Country D3","Bangalore",2014,32700,"First",233,1984,150,5,20,1,0,0,0,10
"113","Nissan Micra XV CVT","Coimbatore",2016,39882,"First",1915,1198,7594,5,6.55,0,0,1,0,8
"114","BMW 5 Series 2010-2013 525i","Mumbai",2009,128000,"First",108,2497,215,5,7,0,0,1,0,15
"115","Maruti Vitara Brezza VDi","Mumbai",2016,55000,"First",243,1248,885,5,7.5,1,0,0,1,8
"116","Mercedes-Benz B Class B200 CDI","Pune",2014,53753,"Second",150,2143,1073,5,16.75,1,0,0,0,10
"117","Hyundai Verna CRDi 1.6 SX Option","Kolkata",2018,10250,"First",220,1582,1262,5,10.95,1,0,0,1,6
"118","Maruti Wagon R LXI BS IV","Pune",2011,43874,"First",189,998,671,5,2.45,0,0,1,1,13
"119","Tata Nano XTA","Coimbatore",2017,32684,"First",219,624,3748,4,3.23,0,0,1,0,7
"120","Mahindra Scorpio VLX","Kolkata",2014,42000,"First",1205,2179,120,8,7.75,1,0,0,1,10
"121","Mercedes-Benz New C-Class 200 K AT","Kolkata",2009,28352,"First",117,1796,178,5,9.35,0,0,1,0,15
"122","Honda CR-V 2.4 MT","Bangalore",2007,47700,"Second",108,2354,152,5,5.25,0,0,1,1,17
"123","Volkswagen Vento 1.5 TDI Comfortline AT","Pune",2015,55000,"First",2121,1498,1032,5,7.25,1,0,0,0,9
"124","Maruti Ciaz VXi Plus","Kochi",2017,44285,"First",2073,1373,911,5,7.47,0,0,1,1,7
"125","Mahindra XUV500 AT W10 FWD","Jaipur",2016,54000,"First",160,2179,140,7,13.25,1,0,0,0,8
"126","Maruti Ritz VXI ABS","Coimbatore",2016,30232,"First",211,1197,8580,5,5.81,0,0,1,1,8
"127","Maruti Alto K10 VXI","Hyderabad",2014,88500,"First",2407,998,671,5,2.6,0,0,1,1,10
"128","Mercedes-Benz SLC 43 AMG","Kolkata",2017,13372,"First",190,2996,36207,2,54,0,0,1,0,7
"129","Hyundai Verna VTVT 1.6 AT SX Plus","Kochi",2019,12645,"First",170,1591,1213,5,11.5,0,0,1,0,5
"130","Maruti Alto LXi BSIII","Chennai",2010,94385,"Second",197,796,463,5,1.6,0,0,1,1,14
"131","BMW 1 Series 118d Base","Coimbatore",2015,31821,"First",2058,1995,143,5,17.22,1,0,0,0,9
"132","Honda Jazz 1.2 V CVT i VTEC","Mumbai",2015,12000,"First",190,1199,887,5,6,0,0,1,0,9
"133","Honda Civic 2006-2010 1.8 V MT","Delhi",2012,88578,"First",135,1799,130,5,3.95,0,0,1,1,12
"134","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2014,44965,"First",1927,2143,170,5,17.95,1,0,0,0,10
"135","Honda Amaze SX i-DTEC","Kolkata",2014,45044,"First",258,1498,986,5,3.7,1,0,0,1,10
"136","Maruti Swift VVT VXI","Kochi",2016,34204,"First",220,1197,8180,5,5.43,0,0,1,1,8
"137","Toyota Fortuner 3.0 Diesel","Coimbatore",2012,91235,"First",115,2982,171,7,13.49,1,0,0,1,12
"138","Chevrolet Beat LT Option","Pune",2014,38800,"First",186,1199,768,5,2.85,0,0,1,1,10
"139","Skoda Rapid 1.5 TDI Elegance","Chennai",2013,83000,"First",2114,1498,10352,5,4.75,1,0,0,1,11
"140","Maruti Ciaz 1.4 Alpha","Kochi",2018,41283,"First",2073,1373,911,5,9.9,0,0,1,1,6
"141","Audi RS5 Coupe","Mumbai",2013,23000,"First",1105,2894,444,4,37,0,0,1,0,11
"142","BMW 3 Series Luxury Line","Mumbai",2014,48000,"First",2176,1995,190,5,26.5,1,0,0,0,10
"143","Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"First",1711,1968,17433,5,23.32,1,0,0,0,9
"144","Maruti Swift VDI","Chennai",2016,35000,"First",229,1248,74,5,6.25,1,0,0,1,8
"145","Mercedes-Benz S Class 2005 2013 S 500","Kolkata",2010,35277,"First",781,5461,3629,5,30,0,0,1,0,14
"146","Skoda Rapid 1.5 TDI AT Elegance Plus Black Package","Coimbatore",2016,54620,"First",2166,1498,10352,5,9.86,1,0,0,0,8
"147","Skoda Superb Elegance 2.0 TDI CR AT","Pune",2012,136997,"First",172,1968,1381,5,8.5,1,0,0,0,12
"148","Hyundai EON Magna Plus","Kochi",2019,14322,"First",211,814,552,5,4.23,0,0,1,1,5
"149","Volkswagen Polo Diesel Trendline 1.2L","Jaipur",2012,65634,"First",2207,1199,739,5,3.5,1,0,0,1,12
"150","Datsun GO NXT","Kolkata",2016,6000,"First",2063,1198,6706,5,2.5,0,0,1,1,8
"151","Honda Brio S MT","Kolkata",2013,33280,"First",194,1198,868,5,2.39,0,0,1,1,11
"152","Mercedes-Benz B Class B180","Delhi",2013,29000,"First",148,1595,1207,5,11.25,0,0,1,0,11
"153","Honda City i DTEC V","Kochi",2015,42831,"First",260,1498,986,5,7.11,1,0,0,1,9
"154","Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad",2016,90000,"First",1299,2494,1006,7,10.9,1,0,0,1,8
"155","Maruti Swift VXI Optional","Ahmedabad",2017,24005,"First",204,1197,8180,5,6.2,0,0,1,1,7
"156","Mahindra XUV500 W8 2WD","Mumbai",2012,32792,"First",151,2179,140,7,7.9,1,0,0,1,12
"157","Ford Ecosport 1.5 DV5 MT Ambiente","Kochi",2014,147898,"First",227,1498,8984,5,4.42,1,0,0,1,10
"158","Toyota Fortuner 4x2 Manual","Mumbai",2012,131765,"First",130,2982,1685,7,13.5,1,0,0,1,12
"159","Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Chennai",2013,65000,"First",215,1498,1085,5,6.25,1,0,0,0,11
"160","Ford Figo Diesel Titanium","Jaipur",2010,66123,"Second",200,1399,68,5,2.1,1,0,0,1,14
"161","BMW X5 xDrive 30d","Mumbai",2015,41000,"First",153,2993,258,5,45,1,0,0,0,9
"162","Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore",2017,23550,"First",1927,2143,16762,5,33.66,1,0,0,0,7
"163","Honda Brio V MT","Bangalore",2012,45000,"Second",194,1198,868,5,3.65,0,0,1,1,12
"164","Hyundai i10 Magna 1.2","Delhi",2013,60000,"First",2036,1197,789,5,2.75,0,0,1,1,11
"165","Mercedes-Benz GLC 220","Bangalore",2016,44414,"First",179,2143,170,5,42.5,1,0,0,0,8
"166","Hyundai Grand i10 1.2 Kappa Asta","Kolkata",2019,1000,"First",189,1197,8186,5,6.5,0,0,1,1,5
"167","Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2012,62500,"Second",1768,1968,17433,5,19,1,0,0,0,12
"168","Volkswagen Vento Petrol Highline AT","Mumbai",2013,21000,"Second",144,1598,1036,5,4.45,0,0,1,0,11
"169","Mini Countryman Cooper D","Jaipur",2017,8525,"Second",166,1998,112,5,23,1,0,0,0,7
"170","Hyundai i20 Asta 1.4 CRDi","Bangalore",2014,29000,"First",2254,1396,8873,5,8.35,1,0,0,1,10
"171","Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2014,40000,"First",1768,1968,17433,5,22.95,1,0,0,0,10
"172","Chevrolet Beat Diesel LT","Jaipur",2012,88000,"First",2544,936,576,5,1.5,1,0,0,1,12
"173","Skoda Superb Elegance 1.8 TSI AT","Kochi",2012,53537,"First",137,1798,15775,5,6.89,0,0,1,0,12
"174","Ford Fiesta 1.4 TDCi EXI Limited Edition","Chennai",2006,216000,"Second",178,1399,68,5,1.45,1,0,0,1,18
"175","BMW 5 Series 520d Luxury Line","Hyderabad",2014,51000,"First",2248,1995,190,5,33.5,1,0,0,0,10
"176","Chevrolet Optra Magnum 1.6 LS BS3","Jaipur",2007,118500,"First",129,1598,1025,5,1.25,0,0,1,1,17
"177","Volkswagen Polo Diesel Highline 1.2L","Hyderabad",2012,63000,"First",2207,1199,739,5,4.2,1,0,0,1,12
"178","Renault Lodgy 110PS RxZ 8 Seater","Mumbai",2015,25000,"First",1998,1461,1085,8,6.75,1,0,0,1,9
"179","Mercedes-Benz E-Class E250 CDI Avantgrade","Bangalore",2014,37382,"First",130,2143,2011,5,32,1,0,0,0,10
"180","Maruti Baleno Alpha","Kochi",2017,24773,"First",214,1197,831,5,7.5,0,0,1,1,7
"181","Hyundai Verna 1.6 SX","Delhi",2012,62000,"First",2232,1582,12632,5,4.6,1,0,0,1,12
"182","Hyundai i10 Magna 1.1","Kochi",2017,52340,"First",1981,1086,6805,5,4.04,0,0,1,1,7
"183","Mahindra Scorpio 1.99 S10 4WD","Kochi",2016,56739,"First",154,1997,120,7,10.31,1,0,0,1,8
"184","Land Rover Range Rover 2.2L Dynamic","Coimbatore",2018,36091,"First",127,2179,1877,5,55.76,1,0,0,0,6
"185","Ford Figo Diesel ZXI","Chennai",2010,120000,"First",200,1399,68,5,2.6,1,0,0,1,14
"186","Maruti Ertiga ZDI","Mumbai",2016,33000,"First",2547,1248,8850,7,8.5,1,0,0,1,8
"187","Honda City 1.5 GXI","Ahmedabad",2007,60006,"First",0,NA,NA,NA,2.95,0,0,1,1,17
"188","Honda Amaze S i-Dtech","Kolkata",2014,52000,"First",258,1498,986,5,3.5,1,0,0,1,10
"189","Hyundai i10 Magna","Jaipur",2015,43571,"First",2036,1197,789,5,3.55,0,0,1,1,9
"190","Honda Amaze S i-Dtech","Kolkata",2013,50000,"First",258,1498,986,5,3.25,1,0,0,1,11
"191","Skoda Laura Ambiente","Hyderabad",2008,113000,"First",175,1896,106,5,4.5,1,0,0,1,16
"192","Renault Duster 85PS Diesel RxL","Delhi",2014,90000,"First",1987,1461,838,5,5.35,1,0,0,1,10
"193","Mahindra NuvoSport N6","Chennai",2017,29000,"Second",1745,1493,100,7,6.5,1,0,0,1,7
"194","Maruti Vitara Brezza ZDi Plus Dual Tone","Mumbai",2016,20000,"First",243,1248,885,5,9,1,0,0,1,8
"195","Hyundai i20 Asta Option 1.2","Kochi",2016,61012,"First",186,1197,8183,5,6,0,0,1,1,8
"196","Skoda Fabia 1.4 MPI Ambiente","Jaipur",2009,87459,"First",147,1390,85,5,2.75,0,0,1,1,15
"197","Tata Indigo eCS GLX","Pune",2010,70500,"First",1564,1193,641,5,1.5,0,0,1,1,14
"198","Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Delhi",2015,64103,"First",1573,1968,17433,5,19.9,1,0,0,0,9
"199","Skoda Octavia Elegance 1.8 TSI AT","Mumbai",2014,76000,"First",147,1798,1775,5,10,0,0,1,0,10
"200","Toyota Etios Liva GD SP","Delhi",2014,104000,"First",2359,1364,6706,5,3,1,0,0,1,10
"201","Maruti Swift 1.3 VXi","Kolkata",2010,42001,"First",161,NA,NA,NA,2.11,0,0,1,1,14
"202","Mercedes-Benz B Class B180","Kochi",2014,37245,"First",148,1595,1207,5,11.96,0,0,1,0,10
"203","Honda Amaze S Diesel","Kolkata",2013,45000,"First",274,1498,986,5,3.25,1,0,0,1,11
"204","Hyundai Verna 1.6 SX","Jaipur",2012,117837,"Second",2232,1582,12632,5,4.75,1,0,0,1,12
"205","Renault Duster 85PS Diesel RxL Optional","Mumbai",2014,30000,"First",2046,1461,838,5,5.95,1,0,0,1,10
"206","Hyundai Creta 1.6 VTVT S","Delhi",2015,27057,"Second",1529,1591,1213,5,8.15,0,0,1,1,9
"207","Maruti Wagon R AMT VXI","Mumbai",2016,8500,"First",2051,998,67,5,4.22,0,0,1,0,8
"208","Mercedes-Benz New C-Class C250 Avantgarde","Kolkata",2010,30500,"First",1174,1796,186,5,10.5,0,0,1,0,14
"209","Audi A8 L 3.0 TDI quattro","Delhi",2012,56000,"First",118,2967,2467,5,45,1,0,0,0,12
"210","Hyundai i10 Magna 1.1","Pune",2012,44000,"Second",1981,1086,6805,5,2.9,0,0,1,1,12
"211","Skoda Rapid 1.6 MPI AT Style Black Package","Mumbai",2017,10500,"First",143,1598,10352,5,8.9,0,0,1,0,7
"212","Skoda Superb Style 1.8 TSI AT","Hyderabad",2017,26000,"First",1467,1798,17746,5,26,0,0,1,0,7
"213","Hyundai i20 Active 1.2 SX","Coimbatore",2018,25166,"First",1719,1197,8186,5,8.22,0,0,1,1,6
"214","Honda Amaze VX i-DTEC","Kolkata",2014,64000,"Second",258,1498,986,5,3.5,1,0,0,1,10
"215","Maruti Wagon R LXI","Chennai",2004,61000,"Second",189,998,671,5,1.25,0,0,1,1,20
"216","Mahindra Verito 1.5 D4 BSIV","Hyderabad",2013,107000,"First",2103,1461,65,5,3.7,1,0,0,1,11
"217","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,29161,"First",1927,2143,16762,5,39.41,1,0,0,0,6
"218","Maruti Wagon R VXI","Kolkata",2013,32000,"First",225,998,6704,5,2.65,0,0,1,1,11
"219","Nissan Terrano XV Premium 110 PS Anniversary Edition","Coimbatore",2015,46173,"Second",1901,1461,1085,5,8.92,1,0,0,1,9
"220","Mini Cooper Convertible S","Kochi",2017,26327,"First",1682,1998,18908,4,35.67,0,0,1,0,7
"221","Ford Figo Diesel","Bangalore",2015,70436,"First",0,1498,99,NA,3.6,1,0,0,1,9
"222","Tata Indica V2 DLS BSII","Jaipur",2007,200000,"Second",172,1396,535,5,0.85,1,0,0,1,17
"223","Chevrolet Beat LT","Kochi",2016,60813,"Second",186,1199,768,5,3.32,0,0,1,1,8
"224","Volkswagen Polo Diesel Comfortline 1.2L","Mumbai",2012,45000,"First",2207,1199,739,5,3.6,1,0,0,1,12
"225","Maruti Swift ZDi","Hyderabad",2016,64000,"First",229,1248,74,5,6.8,1,0,0,1,8
"226","Ford Figo Diesel EXI","Kolkata",2012,41284,"First",200,1399,6805,5,2.5,1,0,0,1,12
"227","Toyota Innova Crysta 2.8 GX AT","Kochi",2019,14165,"First",1136,2755,1715,7,19.64,1,0,0,0,5
"228","Hyundai Santa Fe 4x4 AT","Mumbai",2011,67000,"Second",1172,2199,1943,7,7,1,0,0,0,13
"229","Honda City i-VTEC V","Kolkata",2011,32572,"First",174,1497,1173,5,3.87,0,0,1,1,13
"230","Hyundai i20 1.2 Magna Executive","Kochi",2018,14960,"First",186,1197,8183,5,6.27,0,0,1,1,6
"231","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Kochi",2015,55980,"First",1927,2143,16762,5,18.12,1,0,0,0,9
